Entity,Code,Year,Electricity generation from other renewables,Electricity generation from hydropower,Electricity generation from solar,Electricity generation from wind,Electricity generation from nuclear,Net electricity imports,Electricity generation from oil,Electricity generation from gas,Electricity generation from coal
United Kingdom,GBR,1920,0,0.012000066,0,0,0,0,0.016421553,0,3.9569497
United Kingdom,GBR,1921,0,0.010000056,0,0,0,0,0.10320096,0,3.501464
United Kingdom,GBR,1922,0,0.010000056,0,0,0,0,0.05742352,0,4.16756
United Kingdom,GBR,1923,0,0.013000073,0,0,0,0,0.07045341,0,4.8562293
United Kingdom,GBR,1924,0,0.0150000835,0,0,0,0,0.07606765,0,5.5480037
United Kingdom,GBR,1925,0,0.0150000835,0,0,0,0,0.058412123,0,6.1239543
United Kingdom,GBR,1926,0,0.0150000835,0,0,0,0,0.15334332,0,6.3700147
United Kingdom,GBR,1927,0,0.031000173,0,0,0,0,0.05209596,0,7.8674283
United Kingdom,GBR,1928,0,0.10800061,0,0,0,0,0.05741645,0,8.678054
United Kingdom,GBR,1929,0,0.13600075,0,0,0,0,0.059281573,0,9.673135
United Kingdom,GBR,1930,0,0.32000178,0,0,0,0,0.05368857,0,9.85955
United Kingdom,GBR,1931,0,0.41600233,0,0,0,0,0.05840387,0,10.310846
United Kingdom,GBR,1932,0,0.35400197,0,0,0,0,0.06911916,0,11.029499
United Kingdom,GBR,1933,0,0.33000183,0,0,0,0,0.06267795,0,12.284807
United Kingdom,GBR,1934,0,0.46400258,0,0,0,0,0.050983496,0,14.097938
United Kingdom,GBR,1935,0,0.62500346,0,0,0,0,0.055465203,0,16.100876
United Kingdom,GBR,1936,0,0.6680037,0,0,0,0,0.057786874,0,18.648905
United Kingdom,GBR,1937,0,0.75500417,0,0,0,0,0.060108542,0,21.052334
United Kingdom,GBR,1938,0,0.9880055,0,0,0,0,0.052803785,0,22.439243
United Kingdom,GBR,1939,0,0.9820055,0,0,0,0,0.05088086,0,24.281801
United Kingdom,GBR,1940,0,0.8000044,0,0,0,0,0.06677391,0,26.485031
United Kingdom,GBR,1941,0,0.8310046,0,0,0,0,0.051293757,0,29.840757
United Kingdom,GBR,1942,0,1.0970061,0,0,0,0,0.046546604,0,32.80876
United Kingdom,GBR,1943,0,1.3290074,0,0,0,0,0.036962647,0,33.972298
United Kingdom,GBR,1944,0,1.1760066,0,0,0,0,0.04631302,0,35.2679
United Kingdom,GBR,1945,0,1.1440064,0,0,0,0,0.051175788,0,34.227383
United Kingdom,GBR,1946,0,1.1390063,0,0,0,0,0.08639718,0,37.908726
United Kingdom,GBR,1947,0,1.1280062,0,0,0,0,0.17104368,0,39.311523
United Kingdom,GBR,1948,0,0.8810049,0,0,0,0,0.1886001,0,42.240448
United Kingdom,GBR,1949,0,0.719004,0,0,0,0,0.23046207,0,44.05897
United Kingdom,GBR,1950,0,1.0350057,0,0,0,0,0.19722849,0,49.4702
United Kingdom,GBR,1951,0,1.6870093,0,0,0,-0.002,0.28188914,0,66.90171
United Kingdom,GBR,1952,0,1.8190101,0,0,0,-0.002,0.2454267,0,68.79627
United Kingdom,GBR,1953,0,1.8920106,0,0,0,-0.002,0.34512627,0,72.11819
United Kingdom,GBR,1954,0,2.3840132,0,0,0,-0.002,0.6245474,0,78.01457
United Kingdom,GBR,1955,0,1.6940095,0,0,0,-0.002,0.7772066,0,85.42963
United Kingdom,GBR,1956,0,2.2680128,0,0,0.21091028,-0.001,1.335865,0,91.60059
