Entity,Code,Year,Population (England)
United Kingdom,GBR,1086,1710000
United Kingdom,GBR,1087,1720000
United Kingdom,GBR,1088,1730000
United Kingdom,GBR,1089,1740000
United Kingdom,GBR,1090,1750000
United Kingdom,GBR,1091,1760000
United Kingdom,GBR,1092,1770000
United Kingdom,GBR,1093,1780000
United Kingdom,GBR,1094,1790000
United Kingdom,GBR,1095,1800000
United Kingdom,GBR,1096,1811000
United Kingdom,GBR,1097,1821000
United Kingdom,GBR,1098,1832000
United Kingdom,GBR,1099,1842000
United Kingdom,GBR,1100,1853000
United Kingdom,GBR,1101,1863000
United Kingdom,GBR,1102,1874000
United Kingdom,GBR,1103,1885000
United Kingdom,GBR,1104,1895000
United Kingdom,GBR,1105,1906000
United Kingdom,GBR,1106,1917000
United Kingdom,GBR,1107,1928000
United Kingdom,GBR,1108,1939000
United Kingdom,GBR,1109,1950000
United Kingdom,GBR,1110,1962000
United Kingdom,GBR,1111,1973000
United Kingdom,GBR,1112,1984000
United Kingdom,GBR,1113,1996000
United Kingdom,GBR,1114,2007000
United Kingdom,GBR,1115,2019000
United Kingdom,GBR,1116,2030000
United Kingdom,GBR,1117,2042000
United Kingdom,GBR,1118,2053000
United Kingdom,GBR,1119,2065000
United Kingdom,GBR,1120,2077000
United Kingdom,GBR,1121,2089000
United Kingdom,GBR,1122,2101000
United Kingdom,GBR,1123,2113000
United Kingdom,GBR,1124,2125000
United Kingdom,GBR,1125,2137000
United Kingdom,GBR,1126,2150000
United Kingdom,GBR,1127,2162000
United Kingdom,GBR,1128,2174000
United Kingdom,GBR,1129,2187000
United Kingdom,GBR,1130,2199000
United Kingdom,GBR,1131,2212000
United Kingdom,GBR,1132,2225000
United Kingdom,GBR,1133,2237000
United Kingdom,GBR,1134,2250000
United Kingdom,GBR,1135,2263000
United Kingdom,GBR,1136,2276000
United Kingdom,GBR,1137,2289000
United Kingdom,GBR,1138,2302000
United Kingdom,GBR,1139,2316000
United Kingdom,GBR,1140,2329000
United Kingdom,GBR,1141,2342000
United Kingdom,GBR,1142,2356000
United Kingdom,GBR,1143,2369000
United Kingdom,GBR,1144,2383000
United Kingdom,GBR,1145,2396000
United Kingdom,GBR,1146,2410000
United Kingdom,GBR,1147,2424000
United Kingdom,GBR,1148,2438000
United Kingdom,GBR,1149,2452000
United Kingdom,GBR,1150,2466000
United Kingdom,GBR,1151,2480000
United Kingdom,GBR,1152,2494000
United Kingdom,GBR,1153,2509000
United Kingdom,GBR,1154,2523000
United Kingdom,GBR,1155,2538000
United Kingdom,GBR,1156,2552000
United Kingdom,GBR,1157,2567000
United Kingdom,GBR,1158,2581000
United Kingdom,GBR,1159,2596000
United Kingdom,GBR,1160,2611000
United Kingdom,GBR,1161,2626000
United Kingdom,GBR,1162,2641000
United Kingdom,GBR,1163,2656000
United Kingdom,GBR,1164,2672000
United Kingdom,GBR,1165,2687000
United Kingdom,GBR,1166,2702000
United Kingdom,GBR,1167,2718000
United Kingdom,GBR,1168,2733000
United Kingdom,GBR,1169,2749000
United Kingdom,GBR,1170,2765000
United Kingdom,GBR,1171,2781000
United Kingdom,GBR,1172,2797000
United Kingdom,GBR,1173,2813000
United Kingdom,GBR,1174,2829000
United Kingdom,GBR,1175,2845000
United Kingdom,GBR,1176,2861000
United Kingdom,GBR,1177,2878000
United Kingdom,GBR,1178,2894000
United Kingdom,GBR,1179,2911000
United Kingdom,GBR,1180,2928000
United Kingdom,GBR,1181,2944000
United Kingdom,GBR,1182,2961000
United Kingdom,GBR,1183,2978000
United Kingdom,GBR,1184,2995000
United Kingdom,GBR,1185,3013000
United Kingdom,GBR,1186,3030000
United Kingdom,GBR,1187,3047000
United Kingdom,GBR,1188,3065000
United Kingdom,GBR,1189,3082000
United Kingdom,GBR,1190,3100000
United Kingdom,GBR,1191,3126000
United Kingdom,GBR,1192,3152000
United Kingdom,GBR,1193,3178000
United Kingdom,GBR,1194,3204000
United Kingdom,GBR,1195,3230000
United Kingdom,GBR,1196,3257000
United Kingdom,GBR,1197,3284000
United Kingdom,GBR,1198,3311000
United Kingdom,GBR,1199,3339000
United Kingdom,GBR,1200,3366000
United Kingdom,GBR,1201,3394000
United Kingdom,GBR,1202,3422000
United Kingdom,GBR,1203,3451000
United Kingdom,GBR,1204,3479000
United Kingdom,GBR,1205,3508000
United Kingdom,GBR,1206,3537000
United Kingdom,GBR,1207,3566000
United Kingdom,GBR,1208,3596000
United Kingdom,GBR,1209,3626000
United Kingdom,GBR,1210,3656000
United Kingdom,GBR,1211,3686000
United Kingdom,GBR,1212,3717000
United Kingdom,GBR,1213,3747000
United Kingdom,GBR,1214,3778000
United Kingdom,GBR,1215,3810000
United Kingdom,GBR,1216,3841000
United Kingdom,GBR,1217,3873000
United Kingdom,GBR,1218,3905000
United Kingdom,GBR,1219,3937000
United Kingdom,GBR,1220,3970000
