DSM TH,Population,Stock,PpD,Stock change,Inflow,Outflow
1600,4084715.1251066555,273574.8797255969,4.707304250909189,,,
1601,4110000.0000000005,278092.6235900771,4.707304250909044,,,
1602,4135284.8748933454,282603.59481696977,4.707304250908889,,,
1603,4162227.312340017,287108.07149150723,4.707304250908719,,,
1604,4190827.3123400174,291606.33592161234,4.707304250908536,,,
1605,4221084.874893345,296098.67470410885,4.7073042509083365,,,
1606,4253000.0,300585.3787917611,4.7073042509081215,,,
1607,4286572.687659984,305066.74356102746,4.707304250907887,,,
1608,4321802.937873295,309543.0688806465,4.707304250907634,,,
1609,4357833.188086607,314014.65918101376,4.707304250907359,,,
1610,4389518.062979951,318481.82352431805,4.70730425090706,,,
1611,4416000.0,322944.8756755056,4.707304250906737,,,
1612,4437278.999146756,327404.13417400734,4.707304250906386,,,
1613,4453355.060420216,331859.92240629107,4.707304250906007,,,
1614,4465813.559140349,336312.56867921207,4.707304250905595,,,
1615,4484166.747226955,340762.4062941231,4.707304250905147,,,
1616,4510000.0,345209.77362184523,4.707304250904663,,,
1617,4543313.317459486,349655.0141783799,4.707304250904137,,,
1618,4584106.699605409,354098.47670147434,4.707304250903568,,,
1619,4630045.4570713,358540.5152279419,4.707304250902951,,,
1620,4667121.453658322,362981.4891718186,4.707304250902281,,,
1621,4693000.0,367421.7634032876,4.707304250901554,,,
1622,4707681.096096337,371861.70832841325,4.707304250900767,,,
1623,4711164.741947328,376301.6999696928,4.707304250899913,,,
1624,4706073.698431848,380742.12004733935,4.7073042508989875,,,
1625,4708144.530823116,385183.35606142704,4.707304250897984,,,
1626,4720000.0,389625.80137476383,4.707304250896896,,,
1627,4741640.105962503,394069.85529657657,4.707304250895716,,,
1628,4773064.848710621,398515.92316697154,4.7073042508944365,,,
1629,4812952.35233761,402964.4164421351,4.70730425089305,,,
1630,4853371.361402987,407415.7527803586,4.7073042508915455,,,
1631,4893000.0,411870.3561287636,4.707304250889915,,,
1632,4931838.268128657,416328.6568108135,4.707304250888146,,,
1633,4969886.16578895,420791.0916145732,4.70730425088623,,,
1634,5006292.187542498,425258.10388167424,4.707304250884151,,,
1635,5035947.300758978,429730.1435970529,4.707304250881897,,,
1636,5058000.0,434207.66747936275,4.707304250879453,,,
1637,5072450.285265569,438691.13907213457,4.7073042508768035,,,
1638,5079298.156555679,443181.0288355984,4.70730425087393,,,
1639,5080054.522407404,447677.8142392162,4.707304250870815,,,
