DSM,Population,Stock,PpD,Stock change,Inflow,Outflow
1600,3776933.9011709336,803610.0791712257,4.699958349285686,,,
1601,3781226.3282259754,804523.369616809,4.699958349285686,,,
1602,3785590.8011396113,805451.9891043198,4.699958349285686,,,
1603,3790028.519150029,806396.1927930807,4.699958349285685,,,
1604,3794540.7011172054,807356.2400172997,4.699958349285685,,,
1605,3799128.5858323774,808332.3943519163,4.6999583492856845,,,
1606,3803793.4323319932,809324.9236793995,4.6999583492856845,,,
1607,3808536.5202162024,810334.1002575135,4.699958349285684,,,
1608,3813359.149971926,811360.2007880546,4.699958349285684,,,
1609,3818262.64330057,812403.5064865807,4.699958349285683,,,
1610,3823248.3434504196,813464.3031531315,4.699958349285682,,,
1611,3828317.615553779,814542.8812439629,4.699958349285682,,,
1612,3833471.8469688958,815639.5359442967,4.699958349285681,,,
1613,3838712.447626731,816754.5672421022,4.69995834928568,,,
1614,3844040.8503826163,817888.2800029176,4.699958349285679,,,
1615,3849458.511372856,819040.9840457235,4.699958349285678,,,
1616,3854966.9103763234,820212.9942198787,4.6999583492856765,,,
1617,3860567.5511811,821404.6304831295,4.699958349285676,,,
1618,3866261.961956203,822616.2179807017,4.699958349285674,,,
1619,3872051.6956284656,823848.0871254877,4.699958349285672,,,
1620,3877938.3302646014,825100.573679338,4.699958349285671,,,
1621,3883923.469458515,826374.018835469,4.6999583492856685,,,
1622,3890008.7427239036,827668.7693019949,4.699958349285667,,,
1623,3896195.805892194,828985.177386597,4.699958349285664,,,
1624,3902486.341515871,830323.601082338,4.699958349285661,,,
1625,3908882.0592772355,831684.404154633,4.699958349285659,,,
1626,3915384.6964026443,833067.9562293869,4.699958349285656,,,
1627,3921996.0180822774,834474.6328823068,4.6999583492856525,,,
1628,3928717.8178954776,835904.8157294006,4.699958349285648,,,
1629,3935551.918241704,837358.8925186701,4.6999583492856445,,,
1630,3942500.170777145,838837.2572230087,4.699958349285639,,,
1631,3949564.4568570373,840340.3101343117,4.699958349285634,,,
1632,3956746.687983728,841868.4579588104,4.6999583492856285,,,
1633,3964048.8062605215,843422.1139136357,4.699958349285622,,,
1634,3971472.7848513494,845001.6978246213,4.699958349285615,,,
1635,3979020.6284463108,846607.6362253553,4.699958349285607,,,
1636,3986694.373733105,848240.3624574862,4.699958349285599,,,
1637,3994496.0898744096,849900.3167722938,4.699958349285589,,,
1638,4002427.878991225,851587.946433529,4.699958349285579,,,
