,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
1971,739100,716400,749700,754300,776000,765600,781700,779200,757900,746100,730700,704000,686000,668500,652700,640200,620800,637000,632200,627900,647800,665800,695300,747000,817200,648500,638700,640800,610900,558000,521700,556400,559000,556100,549500,539400,533100,516200,522400,540700,551200,555100,551000,550000,562300,573300,575300,584900,588600,624200,653700,684300,466200,449900,501400,535700,573600,577900,570800,555000,550000,551100,544900,531900,511700,492900,480400,458100,438900,413300,395900,372600,329000,306600,288200,267500,247700,224800,209200,188100,170300,151600,136600,119700,100200,86900,73100,59200,48100,38900,109400
1972,694200,734600,714500,747200,751500,774100,764500,782100,779800,758300,746700,732000,705200,686600,670200,655400,640000,620900,639200,635600,632600,649800,668000,695900,747400,817500,646400,637500,639100,609500,556500,520600,555100,557200,554700,547800,538700,532000,515200,520700,539600,550400,554300,549000,548000,558700,571500,573000,581900,586300,620300,649400,679500,462400,445000,497700,530200,567400,572100,562800,546500,540800,540900,534300,520700,498300,480200,466600,443800,423900,397400,379600,355300,312400,290000,271700,250400,230800,207900,191900,172100,154200,135800,121200,105300,87000,74000,61700,48900,39400,114600
1973,650400,690800,732400,712900,745200,748200,772400,764200,783400,781300,759600,748400,733800,706700,687500,673400,656000,639900,621700,641800,639300,635000,651000,670500,695000,746900,815200,644000,635900,638300,608300,555900,519400,554300,556500,553000,546100,537500,530200,514300,519400,538300,549500,553300,548100,545300,556600,569200,570400,579100,583400,616800,644700,674300,458500,441300,492500,524700,560600,565200,555200,538400,531500,530800,522900,507300,485500,467100,452400,428900,407700,381500,362600,337800,295300,273300,254200,233000,213500,190600,175200,155100,138000,119500,106000,91300,73700,61800,51000,39800,117500
1974,600800,646200,686900,729300,710900,741400,745000,769700,763300,782200,781500,760300,749000,734200,707300,690200,674400,656100,640500,623500,643600,640500,636100,651100,670600,693100,743500,811600,639900,631800,635000,605600,553200,516000,551200,553400,550700,543100,534700,527300,512100,517400,535900,547400,551000,544100,542500,553500,566300,567400,574700,579300,612300,639500,668600,454100,436200,486400,518300,552900,556900,546400,529000,520900,519300,509700,494100,471900,452600,437300,412700,391300,364600,344300,319500,278600,256100,237100,215800,196300,174500,158400,139100,122500,104400,91500,77900,62000,51300,41400,120700
1975,577100,597800,643100,683100,726800,708600,739200,742400,766600,762200,782200,782000,761200,749200,734400,709400,690100,674900,659000,644600,627300,645400,642200,637400,650100,669100,690700,741100,809000,637600,628900,632300,602900,551300,512900,547200,551000,548500,541100,533000,524800,510300,515500,534000,545700,547600,542300,540300,551200,563300,562300,570300,575100,607400,634600,662400,449700,431000,480100,511000,545200,548000,537200,519400,510000,506600,496200,480600,457400,437400,421200,396500,374300,347300,326100,301100,260600,238700,219400,198400,179900,157500,141900,122900,106900,90300,78200,65800,51500,41700,124400
1976,551400,574100,595300,640600,680600,725200,708000,737600,740300,764300,762000,782500,781900,761600,749900,737500,710200,690500,678300,663000,648400,630600,647800,644400,637700,649100,667900,689500,739500,807800,636700,627400,631000,601000,549400,510600,544900,548300,546000,538800,531300,523600,508900,514000,531900,542800,545300,540200,537800,548500,558700,558500,566000,570300,601900,628900,656500,444500,425400,473300,504200,536900,538900,527100,508400,497800,493600,482400,465900,442300,421600,404800,379600,356900,328800,307300,282500,243000,220600,201700,181200,162400,140800,125300,106900,92400,76800,65700,54900,42000,127300
1977,526800,548000,571200,592100,637900,678200,723500,707600,736500,739100,762500,763100,783700,783100,763200,753400,738100,710400,692600,680800,666500,651200,633200,648900,644600,636600,647900,666500,687900,737700,806100,635100,626200,630000,599800,547900,508800,543100,546300,544400,537600,530300,522400,507900,512700,529500,540900,543100,537800,534900,544600,555300,554800,561800,566200,596300,622600,649600,439500,420100,467200,496800,528000,528900,516500,496600,485700,480400,468400,451100,426600,405800,387900,362300,338700,310800,288500,263700,225500,203700,184800,164600,146000,124800,110000,92600,79200,64800,54700,45400,131400
1978,535800,525600,547300,570500,591500,636600,676700,723000,707900,735700,738400,761900,765600,786000,785000,766900,755000,738700,712500,695300,684100,669500,651900,633000,649200,644000,634900,646200,665200,686300,735900,804100,633100,624400,628600,598000,546600,507200,541200,544100,543100,536600,529300,521300,507300,510700,528300,539500,541400,535500,531500,541300,551700,550700,557400,560300,590200,615900,641300,433400,413900,459600,488300,518400,518100,505500,485200,472900,466500,453500,435400,410500,389200,370300,344300,320300,292400,269500,244900,208400,186600,167700,148500,130200,109700,95200,79200,67000,54100,45000,137800
1979,582300,533900,525200,547100,570300,590700,635600,675700,722300,708200,735000,738300,762000,767900,788500,789400,768800,756700,741500,715700,698300,686800,672000,652100,632600,648000,642700,633300,645200,663800,685300,734700,803200,632600,623700,627600,597500,546300,507100,540900,543900,542600,535400,528400,520300,505600,509300,526700,537700,539400,532400,529100,538100,547700,546500,551500,554900,584200,608900,633700,427900,407800,451900,479500,507900,507100,493500,472500,459200,452000,438400,419100,393700,371700,351600,325500,301200,273000,250200,225600,191100,168900,150700,132100,114300,95000,81800,66600,56100,44300,142800
1980,602100,579700,533600,524100,546500,569200,589800,634900,674800,722200,709400,734800,738300,762100,770400,791900,790500,771000,759700,745600,721100,702200,690300,672000,651800,631600,646000,642200,631400,644200,661500,684200,733900,802200,631600,622300,626400,596800,545200,506400,539000,542900,542100,534300,527100,518900,504000,507500,524800,535600,536300,530000,526500,534800,543700,541500,546200,549100,578000,601600,625600,421600,401100,443400,470500,497800,495500,481200,459800,445900,437500,423300,402600,376400,354100,333500,307000,282400,254500,231200,206900,174100,152300,134300,116800,99700,81500,69500,55800,46600,147000
1981,598220,599195,580296,533295,522396,545701,568301,589201,634001,674001,719698,709897,734098,738998,763698,773698,793597,792397,773298,763800,749913,724312,706511,691311,670711,651585,630886,641386,639186,627987,639215,658416,682416,731217,801119,628507,620407,624107,594306,542105,502892,537291,540991,540091,532291,524814,516413,501013,504713,522712,532594,533994,527694,523794,531091,537902,535802,540202,543802,571004,594096,618695,411697,390697,433496,461002,485203,482103,467803,446303,431006,422006,406905,386505,358105,333982,314483,287285,263086,235887,212888,190390,157292,135393,118695,101903,85802,69702,57801,46901,149204
1982,584910,593789,598281,579003,532053,521288,544802,567376,588283,632976,672944,717361,708219,732694,737946,762752,774768,801567,795010,781256,764947,747630,718118,698861,682939,662285,643900,624689,635537,633262,622650,634882,654898,679426,728331,798138,626773,617948,621374,591426,540587,501529,535428,539186,537993,529919,522604,514214,498869,502426,520316,530035,530869,523960,519746,526601,533017,530371,533953,537245,563116,585120,608391,404394,383528,424349,450721,472921,468436,453193,431364,415143,404698,388429,367749,339424,314814,294811,267551,243349,218394,194185,172000,141147,120446,104531,88801,73712,59225,48355,150880
1983,587244,583242,592975,597558,578401,531502,520966,544499,567244,588055,632692,672542,715373,706792,731837,737509,764898,782559,801934,802756,782039,766087,746644,715105,695288,679238,659192,641522,622799,633198,631047,620823,633488,654320,678575,728117,797509,624780,616228,619378,590824,539421,499804,533501,537516,536126,527986,520753,512073,496981,500289,517671,527310,527476,520157,515752,522018,528149,524861,527925,530626,555347,575856,597496,396797,375633,415161,439903,460101,454633,438244,416431,398985,387101,370258,348695,320653,295737,275032,248211,225682,199246,175699,153975,125552,106229,91226,76372,62548,49492,154224
