,Population
1971,46411700.0
1972,46571900.0
1973,46686200.0
1974,46682700.0
1975,46674400.0
1976,46659900.0
1977,46639800.0
1978,46638200.0
1979,46698100.0
1980,46787200.0
1981,46820805.0
1982,46777337.0
1983,46813693.0
1984,46912444.0
1985,47057359.0
1986,47187643.0
1987,47300419.0
1988,47412342.0
1989,47552651.0
1990,47699116.0
1991,47875035.0
1992,47997973.0
1993,48102319.0
1994,48228781.0
1995,48383461.0
1996,48519129.0
1997,48664777.0
1998,48820583.0
1999,49032872.0
2000,49233311.0
2001,49449746.0
2002,49679267.0
2003,49925517.0
2004,50194600.0
2005,50606034.0
2006,50965186.0
2007,51381093.0
2008,51815853.0
2009,52196381.0
2010,52642452.0
2011,53107169.0
2012,53506812.0
2013,53918686.0
2014,54370319.0
2015,54808676.0
2016,55289034.0
2017,55619548.0
2018,55924528.0
2019,56230056.0
2020,56325961.0
2021,56554891.0
2022,57106398.0
