Year,All Dwellings
1801,1512000
1811,1714000
1821,2004000
1831,2420000
1841,2890000
1851,3191000
1861,3653000
1871,4220000
1881,4882000
1891,5453000
1901,6277000
1911,7250000
1921,7450000
1931,8805000
1951,11678000
1961,13828000
1969,15773000
1970,15980000
1971,16065000
1971,16210000
1972,16397000
1973,16573000
1974,16757000
1975,16961000
1976,17174000
1977,17394000
1978,17603000
1979,17782000
1980,17864000
1981,17912000
1981,18018000
1982,18154000
1983,18318000
1984,18488000
1985,18651000
1986,18824000
1987,19078000
1988,19284000
1989,19469000
1990,19635000
1991,19671000
1992,19836000
1993,19987000
1994,20139000
1995,20305000
1996,20468000
1997,20622000
1998,20778000
1999,20927000
2000,21075000
2001,21207000
2002,21353516.418435775
2003,21513391.33687154
2004,21684360.25530731
2005,21869912.98942916
2006,22072565.907864936
2007,22287501.826300707
2008,22511035.744736478
2009,22693802.482106067
2010,22838672.40054184
2011,22976066.0
2012,23116851.01330854
2013,23247462.122940928
2014,23389956.232573308
2015,23566538.342205696
2016,23762072.45183808
2017,23985306.56147046
2018,24213476.671102848
2019,24461242.78073523
2020,24709833.89036762
2021,24927588.0
2022,25160404.0
